serial number,carpet area,status,floor,transaction type,year built,price per sqft
1,,,,,2000.0,
2,920,,,,1989.0,20915.0
3,1000,,,,1973.0,19660.0
4,,,,,2000.0,
5,1334,,,,2000.0,16933.0
6,786,,,,2000.0,29270.0
7,1054,,,,2004.0,25320.0
8,934,,,,2000.0,28663.0
9,884,,,,2000.0,30757.0
10,1247,,,,2000.0,22139.0
11,1377,,,,2000.0,20657.0
12,1284,,,,2002.0,22153.0
13,1362,,,,2007.0,20884.0
14,1373,,,,1998.0,21143.0
15,1354,,,,2000.0,21564.0
16,1374,,,,2000.0,21311.0
17,1220,,,,2004.0,24001.0
18,1309,,,,2000.0,23007.0
19,1311,,,,1994.0,22973.0
20,,,,,2000.0,
21,1594,,,,2002.0,19414.0
22,1410,,,,2000.0,22427.0
23,1410,,,,2000.0,22487.0
24,1430,,,,2000.0,22231.0
25,1410,,,,2000.0,22546.0
26,1472,,,,1989.0,21597.0
27,1693,,,,2000.0,19020.0
28,1467,,,,1992.0,22155.0
29,1331,,,,1994.0,24451.0
30,1437,,,,2000.0,22763.0
31,1461,,,,2000.0,22790.0
32,1732,,,,2003.0,19273.0
33,1885,,,,2021.0,17731.0
34,1532,,,,2000.0,21838.0
35,1214,,,,2000.0,28633.0
36,1144,,,,2000.0,31080.0
37,1530,,,,2007.0,23458.0
38,1560,,,,2000.0,23596.0
39,1699,,,,2000.0,22158.0
40,1504,,,,2000.0,25031.0
41,1178,,,,2001.0,31958.0
42,1793,,,,1990.0,21229.0
43,1645,,,,2008.0,23343.0
44,874,,,,2000.0,45936.0
45,1772,,,,2003.0,23370.0
46,1889,,,,2000.0,22100.0
47,1509,,,,2007.0,27665.0
48,1524,,,,2000.0,27442.0
49,2203,,,,2014.0,19557.0
50,2275,,,,2015.0,19119.0
51,1892,,,,1993.0,23214.0
52,2387,,,,2000.0,18923.0
53,2474,,,,2019.0,18430.0
54,1237,,,,2000.0,37160.0
55,1715,,,,2000.0,26805.0
56,2407,,,,1988.0,19116.0
57,2638,,,,2000.0,18045.0
58,2274,,,,2000.0,21154.0
59,1414,,,,2002.0,34310.0
60,2643,,,,2021.0,18517.0
61,1421,,,,2022.0,34706.0
62,2083,,,,2006.0,24058.0
63,2966,,,,2011.0,16924.0
64,2424,,,,2022.0,20708.0
65,1786,,,,2024.0,28640.0
66,2155,,,,1996.0,24069.0
67,2440,,,,2000.0,21601.0
68,1856,,,,2000.0,28623.0
69,2657,,,,1996.0,20466.0
70,2091,,,,2021.0,26802.0
71,2033,,,,2000.0,28394.0
72,1843,,,,1992.0,31571.0
73,2164,,,,2024.0,27062.0
74,2240,,,,1999.0,29318.0
75,2464,,,,1996.0,28181.0
76,4391,,,,2005.0,16195.0
77,2454,,,,2013.0,29651.0
78,2136,,,,2022.0,35211.0
79,4961,,,,2003.0,16661.0
80,3028,,,,2000.0,27601.0
81,3853,,,,2013.0,21713.0
82,3036,,,,2013.0,27556.0
83,3508,,,,1988.0,27426.0
84,2852,,,,2020.0,33734.0
85,4344,,,,2000.0,24073.0
86,803,,,,2000.0,130230.0
87,2271,,,,2000.0,49732.0
88,3215,,,,2015.0,39033.0
89,3319,,,,2000.0,50287.0
90,4172,,,,2015.0,55145.0
91,4414,,,,2021.0,65389.0
92,676,,,,1957.0,6807.0
93,1440,,,,2000.0,3776.0
94,806,,,,1990.0,20759.0
95,1080,,,,1998.0,17042.0
96,1009,,,,1995.0,18241.0
97,1440,,,,1976.0,12781.0
98,940,,,,1985.0,20025.0
99,1008,,,,1993.0,18882.0
100,994,,,,1998.0,19358.0
101,960,,,,1991.0,20479.0
102,778,,,,1995.0,25796.0
103,987,,,,1995.0,20342.0
104,1263,,,,2000.0,15897.0
105,1013,,,,1985.0,20647.0
106,1176,,,,1981.0,18496.0
107,906,,,,2000.0,25855.0
108,1174,,,,2004.0,19953.0
109,1188,,,,2002.0,19929.0
110,698,,,,2000.0,34758.0
