serial number,furnished status,facing,car parking,type of ownership,booking amount,buy total price
1,,,,,,7772014
2,,,,,,19241716
3,,,,,,19660100
4,,,,,,22420880
5,,,,,,22588200
6,,,,,,23006500
7,,,,,,26687540
8,,,,,,26771200
9,,,,,,27189500
10,,,,,,27607800
11,,,,,,28444316
12,,,,,,28444400
13,,,,,,28444400
14,,,,,,29030020
15,,,,,,29197340
16,,,,,,29281000
17,,,,,,29281000
18,,,,,,30116763
19,,,,,,30117600
20,,,,,,30786880
21,,,,,,30945834
22,,,,,,31622643
23,,,,,,31706303
24,,,,,,31789963
25,,,,,,31789963
26,,,,,,31790800
27,,,,,,32200650
28,,,,,,32501910
29,,,,,,32543740
30,,,,,,32710223
31,,,,,,33296680
32,,,,,,33380340
33,,,,,,33422170
34,,,,,,33455634
35,,,,,,34760730
36,,,,,,35555416
37,,,,,,35890140
38,,,,,,36810400
39,,,,,,37646163
40,,,,,,37647000
41,,,,,,37647000
42,,,,,,38064463
43,,,,,,38399940
44,,,,,,40148434
45,,,,,,41411700
46,,,,,,41746340
47,,,,,,41746340
48,,,,,,41821634
49,,,,,,43084900
50,,,,,,43494834
51,,,,,,43921500
52,,,,,,45168034
53,,,,,,45594700
54,,,,,,45966987
55,,,,,,45971170
56,,,,,,46013000
57,,,,,,47602540
58,,,,,,48104500
59,,,,,,48514434
60,,,,,,48941100
61,,,,,,49317570
62,,,,,,50112340
63,,,,,,50195916
64,,,,,,50196000
65,,,,,,51150561
66,,,,,,51869200
67,,,,,,52705800
68,,,,,,53124100
69,,,,,,54379000
70,,,,,,56043834
71,,,,,,57725400
72,,,,,,58185530
73,,,,,,58561582
74,,,,,,65673100
75,,,,,,69437800
76,,,,,,71111000
77,,,,,,72763285
78,,,,,,75210340
79,,,,,,82656080
80,,,,,,83576340
81,,,,,,83659916
82,,,,,,83660000
83,,,,,,96209000
84,,,,,,96209000
85,,,,,,104575000
86,,,,,,104575000
87,,,,,,112941000
88,,,,,,125490000
89,,,,,,166901700
90,,,,,,230065000
91,,,,,,288627000
92,,,,,,4601300
93,,,,,,5437900
94,,,,,,16731916
95,,,,,,18405116
96,,,,,,18405200
97,,,,,,18405200
98,,,,,,18823500
99,,,,,,19032650
100,,,,,,19241800
101,,,,,,19660100
102,,,,,,20069030
103,,,,,,20077563
104,,,,,,20078400
105,,,,,,20914916
106,,,,,,21751516
107,,,,,,23424716
108,,,,,,23424800
109,,,,,,23675780
110,,,,,,24261400
111,,,,,,24679700
112,,,,,,25089634
113,,,,,,25934600
114,,,,,,26352900
115,,,,,,26687540
116,,,,,,26771200
117,,,,,,27189500
118,,,,,,27607800
119,,,,,,28026100
120,,,,,,28026100
121,,,,,,28435030
122,,,,,,28444400
123,,,,,,28862700
124,,,,,,29071850
125,,,,,,29197340
126,,,,,,29222605
127,,,,,,29281000
128,,,,,,30117600
129,,,,,,30117600
130,,,,,,30117600
131,,,,,,30527534
132,,,,,,30786880
133,,,,,,30945834
134,,,,,,30954200
135,,,,,,32041780
136,,,,,,32209100
137,,,,,,32209100
138,,,,,,32627400
139,,,,,,33045700
140,,,,,,33455634
141,,,,,,33463163
142,,,,,,33463916
143,,,,,,33463916
144,,,,,,33464000
145,,,,,,33464000
146,,,,,,34216940
147,,,,,,34718816
148,,,,,,34915334
149,,,,,,34917592
150,,,,,,35053540
151,,,,,,35128834
152,,,,,,35178193
153,,,,,,35547134
154,,,,,,35555500
155,,,,,,36387917
156,,,,,,36392100
157,,,,,,36392100
158,,,,,,36802034
159,,,,,,37074431
160,,,,,,37228700
161,,,,,,37521510
162,,,,,,37647000
163,,,,,,37647000
164,,,,,,38065300
165,,,,,,38399940
166,,,,,,38483600
167,,,,,,38901900
168,,,,,,39320200
169,,,,,,39555117
170,,,,,,40993400
171,,,,,,40993400
172,,,,,,41411700
173,,,,,,41554759
174,,,,,,41829582
175,,,,,,42666600
176,,,,,,43084900
177,,,,,,43503116
178,,,,,,43670520
179,,,,,,43921500
180,,,,,,43921500
181,,,,,,43988428
182,,,,,,0
183,,,,,,46580884
184,,,,,,46841234
185,,,,,,47518043
186,,,,,,47685363
187,,,,,,47933415
188,,,,,,49359316
189,,,,,,50112340
190,,,,,,50195916
191,,,,,,51450900
192,,,,,,51869200
193,,,,,,52195474
194,,,,,,52287500
195,,,,,,54295340
196,,,,,,54370634
197,,,,,,54370634
198,,,,,,56470500
199,,,,,,56470500
200,,,,,,57302917
201,,,,,,57307100
202,,,,,,58553634
203,,,,,,60235200
204,,,,,,60235200
205,,,,,,60597280
206,,,,,,61003115
207,,,,,,62661340
208,,,,,,62735630
209,,,,,,62745000
210,,,,,,62745000
211,,,,,,64827130
212,,,,,,66509700
213,,,,,,68601200
214,,,,,,69019416
215,,,,,,69019500
216,,,,,,71111000
217,,,,,,73202500
218,,,,,,75043020
219,,,,,,75210340
220,,,,,,76967200
221,,,,,,81978434
222,,,,,,85333200
223,,,,,,87842582
224,,,,,,92025582
225,,,,,,92025916
226,,,,,,100350170
227,,,,,,106666500
228,,,,,,108507020
229,,,,,,117123916
230,,,,,,131764500
231,,,,,,135947500
232,,,,,,140129663
233,,,,,,202875500
234,,,,,,217515916
235,,,,,,250896340
236,,,,,,309458340
237,,,,,,409004370
238,,,,,,1917606248
239,,,,,,0
240,,,,,,0
241,,,,,,0
242,,,,,,8031360
243,,,,,,12549000
244,,,,,,14640500
245,,,,,,16564680
246,,,,,,17150300
247,,,,,,17986900
248,,,,,,18154220
249,,,,,,18396834
250,,,,,,18405200
251,,,,,,18823500
252,,,,,,19240963
253,,,,,,19660100
254,,,,,,20915000
255,,,,,,20915000
256,,,,,,21751182
257,,,,,,21751600
258,,,,,,22998134
259,,,,,,23842682
260,,,,,,23843100
261,,,,,,23843100
262,,,,,,23843100
263,,,,,,23843100
264,,,,,,24679700
265,,,,,,25014340
266,,,,,,26352900
267,,,,,,26687540
268,,,,,,27607800
269,,,,,,28862700
270,,,,,,29281000
271,,,,,,29281000
272,,,,,,30117600
273,,,,,,30117600
274,,,,,,30117600
275,,,,,,31372500
276,,,,,,31782434
277,,,,,,31790382
278,,,,,,31790800
